날짜,외기온도,외기습도
21. 6. 6 오후 10:30,18.50,99.90
21. 6. 6 오후 10:45,18.40,99.90
21. 6. 6 오후 11:00,18.40,99.90
21. 6. 6 오후 11:15,18.50,99.90
21. 6. 6 오후 11:30,18.50,99.90
21. 6. 6 오후 11:45,18.50,100.00
21. 6. 7 오전 12:00,18.50,100.00
21. 6. 7 오전 12:15,18.60,99.90
21. 6. 7 오전 12:30,18.80,99.90
21. 6. 7 오전 12:45,18.80,99.90
21. 6. 7 오전 1:00,18.70,99.90
21. 6. 7 오전 1:15,18.60,99.90
21. 6. 7 오전 1:30,18.60,100.00
21. 6. 7 오전 1:45,18.50,100.00
21. 6. 7 오전 2:00,18.40,100.00
21. 6. 7 오전 2:15,18.50,99.90
21. 6. 7 오전 2:30,18.40,100.00
21. 6. 7 오전 2:45,18.40,100.00
21. 6. 7 오전 3:00,18.40,100.00
21. 6. 7 오전 3:15,18.40,100.00
21. 6. 7 오전 3:30,,100.00
21. 6. 7 오전 3:45,18.20,100.00
21. 6. 7 오전 4:00,18.30,99.90
21. 6. 7 오전 4:15,18.40,100.00
21. 6. 7 오전 4:30,,100.00
21. 6. 7 오전 4:45,18.50,100.00
21. 6. 7 오전 5:00,18.60,100.00
21. 6. 7 오전 5:15,18.60,100.00
21. 6. 7 오전 5:30,,100.00
21. 6. 7 오전 5:45,18.80,100.00
21. 6. 7 오전 6:00,18.80,100.00
21. 6. 7 오전 6:15,18.90,100.00
21. 6. 7 오전 6:30,,100.00
21. 6. 7 오전 6:45,18.90,100.00
21. 6. 7 오전 7:00,19.00,100.00
21. 6. 7 오전 7:15,19.00,100.00
21. 6. 7 오전 7:30,19.20,100.00
21. 6. 7 오전 7:45,,100.00
21. 6. 7 오전 8:00,19.30,100.00
